t, x, y 
0.000000, 0.815322, 2.198985 
0.000250, 0.815322, 2.198985 
0.000500, 0.815322, 2.198985 
0.000750, 0.815323, 2.198985 
0.001000, 0.815323, 2.198985 
0.001250, 0.815323, 2.198985 
0.001500, 0.815324, 2.198985 
0.001750, 0.815324, 2.198985 
0.002000, 0.815325, 2.198985 
0.002250, 0.815327, 2.198986 
0.002500, 0.815328, 2.198986 
0.002750, 0.815331, 2.198986 
0.003000, 0.815332, 2.198987 
0.003250, 0.815336, 2.198987 
0.003500, 0.815338, 2.198988 
0.003750, 0.815343, 2.198989 
0.004000, 0.815346, 2.198990 
0.004250, 0.815352, 2.198991 
0.004500, 0.815357, 2.198992 
0.004750, 0.815364, 2.198993 
0.005000, 0.815369, 2.198994 
0.005250, 0.815378, 2.198996 
0.005500, 0.815385, 2.198998 
0.005750, 0.815395, 2.199000 
0.006000, 0.815403, 2.199001 
0.006250, 0.815415, 2.199004 
0.006500, 0.815424, 2.199006 
0.006750, 0.815439, 2.199009 
0.007000, 0.815449, 2.199011 
0.007250, 0.815466, 2.199015 
0.007500, 0.815477, 2.199017 
0.007750, 0.815496, 2.199021 
0.008000, 0.815509, 2.199024 
0.008250, 0.815531, 2.199029 
0.008500, 0.815545, 2.199032 
0.008750, 0.815569, 2.199037 
0.009000, 0.815585, 2.199041 
0.009250, 0.815611, 2.199047 
0.009500, 0.815630, 2.199051 
0.009750, 0.815658, 2.199057 
0.010000, 0.815678, 2.199062 
0.010250, 0.815710, 2.199069 
0.010500, 0.815731, 2.199074 
0.010750, 0.815766, 2.199082 
0.011000, 0.815789, 2.199087 
0.011250, 0.815826, 2.199095 
0.011500, 0.815852, 2.199101 
0.011750, 0.815892, 2.199111 
0.012000, 0.815920, 2.199117 
0.012250, 0.815963, 2.199127 
0.012500, 0.815992, 2.199134 
0.012750, 0.816038, 2.199145 
0.013000, 0.816070, 2.199152 
0.013250, 0.816120, 2.199164 
0.013500, 0.816154, 2.199172 
0.013750, 0.816206, 2.199184 
0.014000, 0.816242, 2.199193 
0.014250, 0.816298, 2.199206 
0.014500, 0.816336, 2.199215 
0.014750, 0.816395, 2.199230 
0.015000, 0.816436, 2.199239 
0.015250, 0.816499, 2.199255 
0.015500, 0.816541, 2.199265 
0.015750, 0.816607, 2.199281 
0.016000, 0.816653, 2.199292 
0.016250, 0.816722, 2.199309 
0.016500, 0.816770, 2.199321 
0.016750, 0.816843, 2.199339 
0.017000, 0.816892, 2.199352 
0.017250, 0.816969, 2.199371 
0.017500, 0.817021, 2.199384 
0.017750, 0.817102, 2.199404 
0.018000, 0.817156, 2.199418 
0.018250, 0.817240, 2.199439 
0.018500, 0.817297, 2.199454 
0.018750, 0.817385, 2.199476 
0.019000, 0.817444, 2.199492 
0.019250, 0.817535, 2.199515 
0.019500, 0.817597, 2.199531 
0.019750, 0.817692, 2.199556 
0.020000, 0.817757, 2.199573 
0.020250, 0.817855, 2.199599 
0.020500, 0.817922, 2.199616 
0.020750, 0.818025, 2.199643 
0.021000, 0.818094, 2.199662 
0.021250, 0.818200, 2.199690 
0.021500, 0.818272, 2.199709 
0.021750, 0.818382, 2.199739 
0.022000, 0.818457, 2.199759 
0.022250, 0.818570, 2.199789 
0.022500, 0.818647, 2.199810 
0.022750, 0.818765, 2.199842 
0.023000, 0.818844, 2.199864 
0.023250, 0.818966, 2.199897 
0.023500, 0.819048, 2.199920 
0.023750, 0.819173, 2.199955 
0.024000, 0.819257, 2.199978 
0.024250, 0.819386, 2.200014 
0.024500, 0.819473, 2.200038 
0.024750, 0.819606, 2.200076 
0.025000, 0.819696, 2.200101 
0.025250, 0.819832, 2.200140 
0.025500, 0.819924, 2.200166 
0.025750, 0.820064, 2.200206 
0.026000, 0.820159, 2.200233 
0.026250, 0.820303, 2.200274 
0.026500, 0.820400, 2.200303 
0.026750, 0.820548, 2.200345 
0.027000, 0.820647, 2.200375 
0.027250, 0.820799, 2.200419 
0.027500, 0.820901, 2.200449 
0.027750, 0.821056, 2.200495 
0.028000, 0.821161, 2.200526 
0.028250, 0.821320, 2.200573 
0.028500, 0.821427, 2.200605 
0.028750, 0.821589, 2.200654 
0.029000, 0.821699, 2.200687 
0.029250, 0.821865, 2.200737 
0.029500, 0.821977, 2.200771 
0.029750, 0.822147, 2.200823 
0.030000, 0.822261, 2.200858 
0.030250, 0.822434, 2.200911 
0.030500, 0.822551, 2.200947 
0.030750, 0.822728, 2.201002 
0.031000, 0.822847, 2.201039 
0.031250, 0.823028, 2.201095 
0.031500, 0.823149, 2.201134 
0.031750, 0.823333, 2.201192 
0.032000, 0.823457, 2.201231 
0.032250, 0.823645, 2.201290 
0.032500, 0.823771, 2.201331 
0.032750, 0.823962, 2.201392 
0.033000, 0.824090, 2.201433 
0.033250, 0.824285, 2.201496 
0.033500, 0.824416, 2.201539 
0.033750, 0.824613, 2.201603 
0.034000, 0.824746, 2.201647 
0.034250, 0.824947, 2.201713 
0.034500, 0.825083, 2.201758 
0.034750, 0.825287, 2.201825 
0.035000, 0.825424, 2.201871 
0.035250, 0.825632, 2.201941 
0.035500, 0.825772, 2.201988 
0.035750, 0.825983, 2.202059 
0.036000, 0.826124, 2.202107 
0.036250, 0.826338, 2.202180 
0.036500, 0.826482, 2.202229 
0.036750, 0.826699, 2.202304 
0.037000, 0.826845, 2.202354 
0.037250, 0.827065, 2.202430 
0.037500, 0.827213, 2.202482 
0.037750, 0.827436, 2.202560 
0.038000, 0.827586, 2.202613 
0.038250, 0.827813, 2.202693 
0.038500, 0.827964, 2.202747 
0.038750, 0.828194, 2.202828 
0.039000, 0.828347, 2.202883 
0.039250, 0.828579, 2.202967 
0.039500, 0.828735, 2.203023 
0.039750, 0.828970, 2.203108 
0.040000, 0.829128, 2.203166 
0.040250, 0.829365, 2.203253 
0.040500, 0.829525, 2.203312 
0.040750, 0.829765, 2.203400 
0.041000, 0.829926, 2.203460 
0.041250, 0.830169, 2.203551 
0.041500, 0.830332, 2.203612 
0.041750, 0.830578, 2.203705 
0.042000, 0.830742, 2.203767 
0.042250, 0.830991, 2.203861 
0.042500, 0.831157, 2.203925 
0.042750, 0.831408, 2.204021 
0.043000, 0.831576, 2.204086 
0.043250, 0.831829, 2.204184 
0.043500, 0.831998, 2.204250 
0.043750, 0.832254, 2.204350 
0.044000, 0.832425, 2.204418 
0.044250, 0.832683, 2.204520 
0.044500, 0.832855, 2.204588 
0.044750, 0.833115, 2.204692 
0.045000, 0.833289, 2.204762 
0.045250, 0.833552, 2.204868 
0.045500, 0.833727, 2.204939 
0.045750, 0.833991, 2.205047 
0.046000, 0.834168, 2.205119 
0.046250, 0.834435, 2.205229 
0.046500, 0.834613, 2.205302 
0.046750, 0.834881, 2.205414 
0.047000, 0.835061, 2.205489 
0.047250, 0.835331, 2.205602 
0.047500, 0.835512, 2.205679 
0.047750, 0.835784, 2.205794 
0.048000, 0.835966, 2.205872 
0.048250, 0.836240, 2.205989 
0.048500, 0.836423, 2.206068 
0.048750, 0.836699, 2.206188 
0.049000, 0.836883, 2.206268 
0.049250, 0.837161, 2.206389 
0.049500, 0.837346, 2.206471 
0.049750, 0.837625, 2.206594 
0.050000, 0.837811, 2.206677 
0.050250, 0.838092, 2.206803 
0.050500, 0.838279, 2.206887 
0.050750, 0.838561, 2.207014 
0.051000, 0.838749, 2.207100 
0.051250, 0.839032, 2.207230 
0.051500, 0.839222, 2.207317 
0.051750, 0.839506, 2.207448 
0.052000, 0.839696, 2.207536 
0.052250, 0.839982, 2.207670 
0.052500, 0.840173, 2.207760 
0.052750, 0.840460, 2.207895 
0.053000, 0.840651, 2.207986 
0.053250, 0.840939, 2.208124 
0.053500, 0.841131, 2.208216 
0.053750, 0.841420, 2.208356 
0.054000, 0.841613, 2.208450 
0.054250, 0.841903, 2.208592 
0.054500, 0.842097, 2.208687 
0.054750, 0.842387, 2.208831 
0.055000, 0.842581, 2.208927 
0.055250, 0.842873, 2.209073 
0.055500, 0.843068, 2.209171 
0.055750, 0.843360, 2.209319 
0.056000, 0.843555, 2.209419 
0.056250, 0.843848, 2.209569 
0.056500, 0.844043, 2.209670 
0.056750, 0.844336, 2.209822 
0.057000, 0.844532, 2.209924 
0.057250, 0.844826, 2.210079 
0.057500, 0.845022, 2.210182 
0.057750, 0.845316, 2.210339 
0.058000, 0.845513, 2.210444 
0.058250, 0.845807, 2.210603 
0.058500, 0.846004, 2.210709 
0.058750, 0.846299, 2.210870 
0.059000, 0.846495, 2.210978 
0.059250, 0.846790, 2.211141 
0.059500, 0.846987, 2.211250 
0.059750, 0.847282, 2.211415 
0.060000, 0.847479, 2.211526 
0.060250, 0.847774, 2.211693 
0.060500, 0.847971, 2.211806 
0.060750, 0.848266, 2.211975 
0.061000, 0.848463, 2.212089 
0.061250, 0.848758, 2.212260 
0.061500, 0.848954, 2.212375 
0.061750, 0.849249, 2.212549 
0.062000, 0.849445, 2.212666 
0.062250, 0.849740, 2.212842 
0.062500, 0.849936, 2.212960 
0.062750, 0.850230, 2.213138 
0.063000, 0.850426, 2.213258 
0.063250, 0.850720, 2.213438 
0.063500, 0.850915, 2.213559 
0.063750, 0.851208, 2.213742 
0.064000, 0.851404, 2.213864 
0.064250, 0.851696, 2.214049 
0.064500, 0.851891, 2.214173 
0.064750, 0.852183, 2.214360 
0.065000, 0.852377, 2.214486 
0.065250, 0.852668, 2.214675 
0.065500, 0.852862, 2.214802 
0.065750, 0.853152, 2.214994 
0.066000, 0.853345, 2.215122 
0.066250, 0.853634, 2.215316 
0.066500, 0.853827, 2.215446 
0.066750, 0.854115, 2.215642 
0.067000, 0.854307, 2.215774 
0.067250, 0.854594, 2.215972 
0.067500, 0.854785, 2.216105 
0.067750, 0.855071, 2.216306 
0.068000, 0.855262, 2.216440 
0.068250, 0.855546, 2.216643 
0.068500, 0.855736, 2.216779 
0.068750, 0.856019, 2.216984 
0.069000, 0.856208, 2.217122 
0.069250, 0.856490, 2.217330 
0.069500, 0.856678, 2.217469 
0.069750, 0.856958, 2.217678 
0.070000, 0.857145, 2.217819 
0.070250, 0.857424, 2.218031 
0.070500, 0.857609, 2.218173 
0.070750, 0.857887, 2.218388 
0.071000, 0.858071, 2.218531 
0.071250, 0.858347, 2.218748 
0.071500, 0.858530, 2.218893 
0.071750, 0.858804, 2.219113 
0.072000, 0.858986, 2.219259 
0.072250, 0.859258, 2.219481 
0.072500, 0.859439, 2.219629 
0.072750, 0.859709, 2.219853 
0.073000, 0.859889, 2.220003 
0.073250, 0.860157, 2.220229 
0.073500, 0.860335, 2.220380 
0.073750, 0.860601, 2.220609 
0.074000, 0.860777, 2.220762 
0.074250, 0.861041, 2.220993 
0.074500, 0.861216, 2.221147 
0.074750, 0.861478, 2.221381 
0.075000, 0.861652, 2.221537 
0.075250, 0.861911, 2.221772 
0.075500, 0.862083, 2.221930 
0.075750, 0.862340, 2.222168 
0.076000, 0.862510, 2.222327 
0.076250, 0.862765, 2.222568 
0.076500, 0.862933, 2.222729 
0.076750, 0.863185, 2.222971 
0.077000, 0.863352, 2.223134 
0.077250, 0.863601, 2.223379 
0.077500, 0.863767, 2.223543 
0.077750, 0.864013, 2.223791 
0.078000, 0.864176, 2.223956 
0.078250, 0.864420, 2.224206 
0.078500, 0.864582, 2.224374 
0.078750, 0.864822, 2.224626 
0.079000, 0.864982, 2.224795 
0.079250, 0.865220, 2.225050 
0.079500, 0.865378, 2.225220 
0.079750, 0.865612, 2.225478 
0.080000, 0.865768, 2.225650 
0.080250, 0.866000, 2.225909 
0.080500, 0.866153, 2.226083 
0.080750, 0.866382, 2.226345 
0.081000, 0.866533, 2.226521 
0.081250, 0.866759, 2.226785 
0.081500, 0.866908, 2.226962 
0.081750, 0.867130, 2.227229 
0.082000, 0.867277, 2.227408 
